-0.645711,27.5075,17.1469
-11.6327,-61.5362,18.2464
-39.5038,9.10549,6.64665
-49.3924,-49.2067,15.6169
-28.0364,46.138,33.1563
-25.2519,43.7247,-17.6583
-27.5437,-76.9276,36.8413
-26.8343,-86.9944,-18.6416
-3.91065,-23.1098,62.7965
-50.8237,-13.7126,56.9996
-35.376,-28.6782,-10.2307
-61.345,0.359735,-28.4714
-45.1159,-6.86982,-8.8805
-53.1542,-28.7787,-4.5898
-42.7984,-33.3777,14.6116
-45.3417,33.8878,-7.00381
-39.6311,8.47638,-19.3538
-16.6161,11.6114,-20.1425
-30.7132,-8.87857,-33.8631
-3.80821,45.2562,-15.2826
-0.176379,-2.41032,-8.043
-24.0522,55.3353,2.54003
-4.19098,50.3348,24.0168
-39.3756,31.6641,19.742
-58.656,-0.9948,24.5576
-38.1713,11.4388,53.5941
-59.8169,-41.1761,44.3206
-44.8985,-74.6227,35.4964
-32.5682,-51.9872,48.8751
-13.142,-60.0768,59.2532
-24.5288,-25.6148,65.8363
-13.3597,22.8756,57.5712
-8.9387,4.51156,41.3007
-6.19903,-45.0877,42.9116
0.0858974,-25.4346,27.7521
-7.46634,-78.9588,31.8239
-22.3559,-100.387,12.5794
-2.66007,-79.2394,2.91049
-49.6011,-71.8029,2.71521
-47.1975,-44.5772,-18.3961
-30.0267,-49.5492,-7.68388
-9.12214,-41.3337,0.335087
-42.6328,0.266459,8.55622
-39.9807,-17.9819,6.39698
-38.3485,-12.4877,17.9618
-55.6987,4.22153,-14.0731
-62.1957,-11.075,-11.2674
-64.3053,-8.28509,-2.45131
-68.0245,-23.2685,11.0804
-52.6566,-42.2758,5.95826
-66.2198,-42.2581,15.3249
-34.5984,23.2924,7.59341
-37.791,16.901,1.12004
-35.4672,41.3157,-12.1595
-31.3553,27.2256,-24.1487
-33.1373,22.681,-8.82968
-43.7709,3.37448,-16.3256
-47.776,14.0569,-32.1117
-24.5984,13.4308,-44.1033
-48.3563,-2.56079,-46.3569
-18.2941,27.0097,-26.4538
-29.7955,9.53173,-18.7265
-29.7281,-4.96997,-23.5239
-26.4317,-10.7816,-16.0568
-25.8863,-15.5345,-18.2311
-6.99904,50.9949,-25.7628
-7.91878,29.0289,-26.2172
-2.59479,39.5436,-2.29552
-0.011965,15.2048,4.58912
-4.43249,24.1172,-13.7255
-8.9226,5.71812,-16.3809
-17.2623,-16.5912,-9.90508
-6.88925,55.1415,1.86898
-8.2473,40.474,16.5533
-25.4536,62.1781,-15.2138
